a	0 a
ai	0 ai
am	0 am
an	0 an
ang	0 ang
anh	0 anh
ao	0 ao
au	0 au
ay	0 ay
ba	b a
bai	b ai
bam	b am
ban	b an
bang	b ang
banh	b anh
bao	b ao
bau	b au
bay	b ay
be	b e
bem	b em
ben	b en
beng	b eng
beo	b eo
bi	b i
bia	b ia
bim	b im
bin	b in
binh	b inh
biu	b iu
biêm	b ieem
biên	b ieen
biêng	b ieeng
biêu	b ieeu
biếc	b ieec1
biếm	b ieem1
biến	b ieen1
biếng	b ieeng1
biếp	b ieep1
biết	b ieet1
biếu	b ieeu1
biềm	b ieem2
biền	b ieen2
biềng	b ieeng2
biều	b ieeu2
biểm	b ieem3
biển	b ieen3
biểng	b ieeng3
biểu	b ieeu3
biễm	b ieem4
biễn	b ieen4
biễng	b ieeng4
biễu	b ieeu4
biệc	b ieec5
biệm	b ieem5
biện	b ieen5
biệng	b ieeng5
biệp	b ieep5
biệt	b ieet5
biệu	b ieeu5
bo	b o
boa	b oa
boai	b oai
boam	b oam
boan	b oan
boang	b oang
boanh	b oanh
boao	b oao
boay	b oay
boe	b oe
boem	b oem
boen	b oen
boeo	b oeo
boi	b oi
bom	b om
bon	b on
bong	b ong
boong	b oong
boà	b oa2
boài	b oai2
boàm	b oam2
boàn	b oan2
boàng	b oang2
boành	b oanh2
boào	b oao2
boày	b oay2
boá	b oa1
boác	b oac1
boách	b oach1
boái	b oai1
boám	b oam1
boán	b oan1
boáng	b oang1
boánh	b oanh1
boáo	b oao1
boáp	b oap1
boát	b oat1
boáy	b oay1
boã	b oa4
boãi	b oai4
boãm	b oam4
boãn	b oan4
boãng	b oang4
boãnh	b oanh4
boão	b oao4
boãy	b oay4
boè	b oe2
boèm	b oem2
boèn	b oen2
boèo	b oeo2
boé	b oe1
boém	b oem1
boén	b oen1
boéo	b oeo1
boét	b oet1
boòng	b oong2
boóc	b ooc1
boóng	b oong1
boõng	b oong4
boăm	b oawm
boăn	b oawn
boăng	b oawng
boạ	b oa5
boạc	b oac5
boạch	b oach5
boại	b oai5
boạm	b oam5
boạn	b oan5
boạng	b oang5
boạnh	b oanh5
boạo	b oao5
boạp	b oap5
